organism_key	taxon_version_key	kingdom	phylum_division	class	order	family	genus	taxon_name	taxon_authority	taxon_rank	synonyms	non_native_flag	terrestrial_freshwater_flag	freshwater	marine_flag	freshbase	ukceh_freshwater_list	pantheon_sqs	pantheon_conservation_status	pantheon_current_conservation_status	pantheon_designation_summary	pantheon_larval_feeding_guild	pantheon_adult_feeding_guild	pantheon_broad_biotope	pantheon_habitat	pantheon_resources	pantheon_specific_assemblage_type	pantheon_habitat_score	pantheon_associations	jncc_a: bern convention	jncc_c: birds directive	jncc_c1: convention on migratory species	jncc_c2: ospar	jncc_d: habitats directive	jncc_e: ec cites	jncc_f: global red list status	jncc_fa: red listing based on pre 1994 iucn guidelines	jncc_fb: red listing based on 1994 iucn guidelines	jncc_fc: red listing based on 2001 iucn guidelines	jncc_fd: red data categories  - birds (not based on iucn criteria)	jncc_fe: red data categories - spiders (not based on iucn criteria)	jncc_ga: rare and scarce species	jncc_gb: rare and scarce species (not based on iucn criteria)	jncc_ha: biodiversity action plan uk list of priority species	jncc_hb: biodiversity lists - england	jncc_hc: biodiversity lists - scotland	jncc_hd: biodiversity lists - wales	jncc_he: biodiversity lists - northern ireland	jncc_i: wildlife and countryside act 1981	jncc_j: the wildlife (northern ireland) order 1985	jncc_k: the conservation of habitats and species regulations 2010	jncc_l: the conservation (nature habitats, etc_) regulations (ni) 199	jncc_m: protection of badgers act	number_records	gb_records	bags_grade	species_status	bin_uris	otu_ids	other_names
NBNORG0000104429	NHMSYS0021057196	Animalia	Porifera	Demospongiae	Hadromerida	Suberitidae	Aaptos	Aaptos simplex	(Lambe, 1893)	Species	Suberites simplex				Y																																							0	0	F	BLACK			
NBNORG0000116494	NHMSYS0021124947	Animalia	Arthropoda	Arachnida	Trombidiformes	Eriophyidae	Abacarus	Abacarus acutatus	Sukhareva, 1985	Species			Y																																									0	0	F	BLACK			
NBNORG0000093461	NHMSYS0020190380	Animalia	Arthropoda	Arachnida	Trombidiformes	Eriophyidae	Abacarus	Abacarus hystrix	(Nalepa, 1896)	Species			Y																																									0	0	F	BLACK			
NBNORG0000086427	NHMSYS0021049324	Animalia	Annelida	Polychaeta		Arenicolidae	Abarenicola	Abarenicola claparedi	(Levinsen, 1884)	Species	Abarenicola claparedei				Y																																							0	0	F	BLACK			
NBNORG0000009931	NBNSYS0000007302	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Abax	Abax parallelepipedus	(Piller & Mitterpacher, 1783)	Species	Abax ater;Abax parallelopipedus;Abax striola;Pterostichus striola		Y					1		LC	IUCN Threat listing (1)	predator	predator	shaded woodland floor	shaded woodland floor	habitats >> sward/field layer, humidity >> damp, soil humidity >> damp, tree-associated >> shaded woodland floor													RedList_GB_post2001-LC															0	0	F	BLACK			
NBNORG0000009932	NBNSYS0000007303	Animalia	Arthropoda	Insecta	Coleoptera	Carabidae	Abax	Abax parallelus	(Duftschmid, 1812)	Species		Y	Y					1																					RedList_GB_post2001-NA															0	0	F	BLACK			
NBNORG0000018191	NBNSYS0000024888	Animalia	Arthropoda	Insecta	Coleoptera	Melandryidae	Abdera	Abdera affinis	(Paykull, 1799)	Species	Carida affinis		Y					32	RE	RE	IUCN Threat listing (1)	fungivore	fungivore	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, fungal fruiting bodies	A213		Betula										RedList_GB_post2001-CR(PE)			NR-includes												0	0	F	BLACK			
NBNORG0000018192	NBNSYS0000024889	Animalia	Arthropoda	Insecta	Coleoptera	Melandryidae	Abdera	Abdera biflexuosa	(Curtis, 1829)	Species	Abdera bifasciata		Y					4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	fungivore	fungivore	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, dead trunks & branches >> aerial branches	A212	IEC: 1, IEC (older version): 1	Quercus										RedList_GB_post2001-LC			NS-includes												0	0	F	BLACK			
NBNORG0000018193	NBNSYS0000024890	Animalia	Arthropoda	Insecta	Coleoptera	Melandryidae	Abdera	Abdera flexuosa	(Paykull, 1799)	Species			Y					4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	fungivore	fungivore	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, fungal fruiting bodies	A213		Alnus, Betula, Salix										RedList_GB_post2001-LC			NS-includes												0	0	F	BLACK			
NBNORG0000018194	NBNSYS0000024891	Animalia	Arthropoda	Insecta	Coleoptera	Melandryidae	Abdera	Abdera quadrifasciata	(Curtis, 1829)	Species	Abdera 4-fasciata;Abdera ?bifasciata		Y					4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	fungivore	fungivore	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, dead trunks & branches >> aerial branches	A212	IEC: 3, IEC (older version): 3	Quercus										RedList_GB_post2001-LC			NS-includes												0	0	F	BLACK			
