organism_key	taxon_version_key	kingdom	phylum_division	class	order	family	genus	taxon_name	taxon_authority	taxon_rank	synonyms	non_native_flag	terrestrial_freshwater_flag	freshwater	marine_flag	freshbase	ukceh_freshwater_list	pantheon_sqs	pantheon_conservation_status	pantheon_current_conservation_status	pantheon_designation_summary	pantheon_larval_feeding_guild	pantheon_adult_feeding_guild	pantheon_broad_biotope	pantheon_habitat	pantheon_resources	pantheon_specific_assemblage_type	pantheon_habitat_score	pantheon_associations	jncc_a: bern convention	jncc_c: birds directive	jncc_c1: convention on migratory species	jncc_c2: ospar	jncc_d: habitats directive	jncc_e: ec cites	jncc_f: global red list status	jncc_fa: red listing based on pre 1994 iucn guidelines	jncc_fb: red listing based on 1994 iucn guidelines	jncc_fc: red listing based on 2001 iucn guidelines	jncc_fd: red data categories  - birds (not based on iucn criteria)	jncc_fe: red data categories - spiders (not based on iucn criteria)	jncc_ga: rare and scarce species	jncc_gb: rare and scarce species (not based on iucn criteria)	jncc_ha: biodiversity action plan uk list of priority species	jncc_hb: biodiversity lists - england	jncc_hc: biodiversity lists - scotland	jncc_hd: biodiversity lists - wales	jncc_he: biodiversity lists - northern ireland	jncc_i: wildlife and countryside act 1981	jncc_j: the wildlife (northern ireland) order 1985	jncc_k: the conservation of habitats and species regulations 2010	jncc_l: the conservation (nature habitats, etc_) regulations (ni) 199	jncc_m: protection of badgers act	number_records	gb_records	bags_grade	species_status	bin_uris	otu_ids	other_names
NBNORG0000064636	NHMSYS0000599624	Chromista		Bacillariophyceae		Acanthocerataceae	Acanthoceras	Acanthoceras madeburgensis	Hongim.	Species	Acanthoceras zachariasi;Attheya zachariasii																																											0	0	F	BLACK			
NBNORG0000064639	NHMSYS0000599639	Chromista		Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes	Achnanthes angustata	Grev.	Species																																												0	0	F	BLACK			
NBNORG0000064640	NHMSYS0000599640	Chromista		Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes	Achnanthes aperta	J.R.Carter	Species																																												0	0	F	BLACK			
NBNORG0000064641	NHMSYS0000599641	Chromista		Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes	Achnanthes austriaca	Hust.	Species	Achnanthes austriaca var. parallela;Achnanthes austriaca var. ventricosa;Eucocconeis austriaca																																											0	0	F	BLACK			
NBNORG0000106768	NHMSYS0020954798	Chromista		Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes	Achnanthes bahusiensis	(Grunow) Lange-Bertalot, 1989	Species																																												0	0	F	BLACK			
NBNORG0000064644	NHMSYS0000599646	Chromista		Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes	Achnanthes bicapitata	Hust.	Species																																												0	0	F	BLACK			
NBNORG0000064645	NHMSYS0000599648	Chromista		Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes	Achnanthes borealis	A.Cleve	Species																																												0	0	F	BLACK			
NBNORG0000064646	NHMSYS0000599649	Chromista		Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes	Achnanthes boyei	Østrup.	Species																																												0	0	F	BLACK			
NBNORG0000106769	NHMSYS0020954799	Chromista		Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes	Achnanthes bremeyeri	Lange-Bertalot, 1989	Species																																												0	0	F	BLACK			
NBNORG0000064647	NHMSYS0000599650	Chromista		Bacillariophyceae	Achnanthales	Achnanthaceae	Achnanthes	Achnanthes brevipes	C.Agardh	Species	Achnanthes brevipes var. intermedia																																											1	0	E	RED		OTU_001377	Achnanthes sp. a
